task,l_target,depth,width,lr,params,train_loss,test_loss,test_acc,loss_5,loss_20,loss_50,loss_100
k4,3,3,8,0.001,546,0.5309578518867493,1.1855336198806763,0.238125,0.5546425762176513,0.5502911219596863,0.5499839668273926,0.5388296971321106
path,3,5,8,0.001,962,0.08268704563379288,0.09728461587429046,0.990425,0.5940143690109253,0.29398761558532716,0.18204360628128052,0.10696100080013275
k4,3,5,64,0.01,54274,0.5428889880180359,1.1677983283996582,0.238125,0.5445012521743774,0.5506790661811829,0.5505691251754761,0.5501924138069153
indset4,3,7,8,0.01,1362,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k4,3,2,64,0.005,17026,0.5363495969772338,1.208998945236206,0.238125,0.5465469198226929,0.5394795341491699,0.5369454979896545,0.5377679069042206
indset4,3,5,64,0.005,54146,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k4,3,6,32,0.01,16962,0.5394637451171875,1.162325834274292,0.238125,0.5455324501991272,0.5404172887802124,0.550618661403656,0.5504643259048462
indset4,3,1,32,0.01,1218,4.976389158173333e-08,2.193449876841669e-09,1.0,0.00014846781524829566,1.0967055859509855e-05,1.8435713036524248e-06,3.9028958735798367e-07
indset4,3,6,32,0.005,16898,0.0,0.0,1.0,0.0,0.0,0.0,0.0
path,3,8,32,0.001,23234,0.0020449823586823185,0.014989088207483292,0.999175,0.2585414334535599,0.2397794269323349,0.07181093375384807,0.00680583281069994
cycle,3,8,8,0.005,1570,0.21554628157615663,0.07163829958438873,0.9843,0.36796623063087464,0.2624290819168091,0.24968274068832397,0.23622082185745238
k4,3,1,32,0.005,1282,0.5447639775276184,1.1503106298446655,0.238125,0.5509653573036194,0.551098105430603,0.5469396231174469,0.5457036390304565
k4,3,7,16,0.001,5186,0.48670039439201357,1.2050481567382811,0.23875,0.5513115434646606,0.5422275876998901,0.5285896329879761,0.5119853277206421
cycle,3,5,64,0.001,54146,0.00012986534138326533,0.4242793974876404,0.980875,0.291069406747818,0.25223853850364686,0.20963443505764007,0.08217184334993362
cycle,3,2,8,0.001,322,0.2702144292593002,0.10891286706924438,0.983325,0.3094332189559936,0.27884793615341186,0.2761577401161194,0.2756139667034149
indset4,3,1,8,0.005,114,6.044051042408682e-07,2.906304067096244e-08,1.0,0.008103886049240828,0.0003324206997640431,3.626724578498397e-05,6.052617827663198e-06
path,3,3,32,0.001,7554,0.17739837896823882,0.1113648567199707,0.9981,0.326002566576004,0.2110228704214096,0.19057096648216248,0.18179765331745149
cycle,3,7,16,0.01,5154,0.22034878826141358,0.09128526550531388,0.984325,0.29174045407772065,0.2554570678472519,0.23868141841888427,0.25304609060287475
path,3,5,16,0.005,3586,0.014105967998504639,0.04489981201291084,0.986875,0.2308848285675049,0.16012318313121796,0.0452585226893425,0.030436816021800043
cycle,3,6,32,0.001,16898,0.06242263236641884,0.19752948760986327,0.9836,0.2928967959880829,0.25661941146850586,0.2313395276069641,0.17221657168865204
path,3,2,16,0.01,1186,0.23139237356185913,0.11988735568523406,0.998225,0.23747824501991271,0.2320952607393265,0.23191378903388976,0.2317670409679413
path,3,5,32,0.001,13826,0.014319706253707409,0.04542311280965805,0.992825,0.2683160533905029,0.20925530815124513,0.062397966980934146,0.03703991237282753
path,3,3,16,0.005,1986,0.17722573828697205,0.10556653124094009,0.998325,0.2399856421947479,0.1898334047794342,0.18181569695472719,0.18152302658557892
cycle,3,1,16,0.01,354,0.2782321388721466,0.10685175907611846,0.98335,0.28570959162712095,0.284514096736908,0.28090152275562286,0.28129045391082763
cycle,3,6,16,0.005,4354,0.1682678645849228,0.3716853528022766,0.950325,0.27647946095466613,0.2492519999742508,0.22850344109535217,0.21177630960941315
path,3,4,16,0.01,2786,0.09929815590381623,0.055746843039989474,0.9955,0.23790799391269685,0.16410548186302185,0.12012726867198945,0.1131917998790741
indset4,3,2,8,0.005,322,5.6147540590245625e-08,2.741812071604954e-09,1.0,0.0004414076856337488,1.7638310164329597e-05,2.560331371569191e-06,5.025061952892429e-07
path,3,6,64,0.001,66690,0.0019711454573948686,0.018133903473615647,0.9985,0.24433391588926315,0.10753142029047012,0.014513236582279205,0.0020926267516624647
cycle,3,1,8,0.001,114,0.27997820234298704,0.13119496417045592,0.983325,0.3681507751941681,0.3131103596687317,0.28538543796539306,0.28081646537780763
indset4,3,8,64,0.005,91394,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cycle,3,3,64,0.001,29314,0.09761402976512909,0.17271961522102355,0.983,0.28806070804595946,0.2600462236404419,0.23877921319007875,0.20237771654129028
k4,3,8,64,0.01,91522,0.5499014549255371,1.1542313299179077,0.238125,0.5523590478897095,0.550321849822998,0.5499920334815979,0.5501623916625976
indset4,3,7,32,0.01,20034,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k4,3,7,32,0.005,20098,0.4433816385269165,1.188588249206543,0.239275,0.5468381638526917,0.5379620270729065,0.5334192900657654,0.5241208236217498
k4,3,1,16,0.001,386,0.5480548005104064,1.1356320295333862,0.238125,0.5501904306411743,0.5501041626930236,0.5498459653854371,0.5492647395133973
path,3,8,16,0.005,5986,0.0022314845954533665,0.01850509715080261,0.998575,0.24635320711135864,0.129390722990036,0.019990280739963055,0.009966059219092131
indset4,3,6,16,0.001,4354,0.0,0.0,1.0,0.00221008107252419,1.3533695364458253e-06,1.4920807518592482e-07,2.807378113800496e-08
indset4,3,4,8,0.01,738,0.0,0.0,1.0,2.0835587332840077e-05,0.0,0.0,0.0
k4,3,3,64,0.01,29442,0.5364059991836548,1.16201540184021,0.238125,0.5440019550323486,0.5411644973754883,0.537944703578949,0.5475595293045044
cycle,3,8,64,0.001,91394,0.0006480169382411987,0.4850130124092102,0.982025,0.402728061914444,0.24987937450408937,0.1801610461473465,0.04549226152896881
indset4,3,4,64,0.01,41730,0.0,0.0,1.0,0.0,0.0,0.0,0.0
indset4,3,3,64,0.005,29314,0.0,0.0,1.0,8.859491376824735e-07,3.5117136781082083e-07,8.649818016692734e-08,1.7666814187577983e-08
indset4,3,8,8,0.001,1570,1.6844270142257756e-08,8.225439547260294e-10,1.0,0.018099134296178817,9.234832923539215e-06,9.086282711905369e-07,1.5718315046342467e-07
path,3,6,8,0.001,1170,0.066888627409935,0.0508362820148468,0.9909,0.4866736307144165,0.2350258388519287,0.17220823669433594,0.11577175909280776
k4,3,4,64,0.005,41858,0.48035131669044495,1.2116572790145874,0.238825,0.5426158137321472,0.5354319722652435,0.519723130941391,0.5034791345596313
path,3,1,16,0.001,386,0.24320202350616454,0.08755153620243072,0.998225,0.4153473637104034,0.2745968899726868,0.24485061717033385,0.24376831912994384
cycle,3,5,32,0.01,13762,0.16357851445674895,0.12372698748111725,0.984225,0.3099250392913818,0.2536624426841736,0.2661523902416229,0.20910070991516114
path,3,7,32,0.005,20098,0.0025452449828735554,0.05447179692983627,0.99905,0.24353643763065339,0.18257873010635375,0.02878541924059391,0.012900729588232934
k4,3,8,16,0.005,5986,0.4379167964458466,1.2532507047653199,0.2406,0.5497898302078247,0.5331262784004211,0.5120459420681,0.4891680474281311
indset4,3,8,16,0.01,5954,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cycle,3,4,16,0.001,2754,0.23824766325950622,0.10269556266069413,0.984075,0.3871972033977509,0.27287159967422486,0.2620498447418213,0.2501373999118805
cycle,3,2,32,0.005,4354,0.2547456464767456,0.10194876837730407,0.983375,0.2893386471271515,0.2744801726341248,0.26649226880073545,0.2656211302280426
cycle,3,6,64,0.01,66562,0.2462559335231781,0.18400362360477449,0.983325,0.28369831025600434,0.27221619701385497,0.25058581948280334,0.4140145354270935
path,3,4,64,0.005,41858,0.027684050768613817,0.0685584254860878,0.990425,0.23003633487224578,0.1216229065656662,0.09931318819522858,0.05839170145988464
